Time,Instances
2023-04-03 11:51:38,0
2023-04-03 11:51:38,0
2023-04-03 11:51:38,0
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:51:41,1
2023-04-03 11:52:02,2
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:03,3
2023-04-03 11:52:14,4
2023-04-03 11:52:14,4
2023-04-03 11:52:14,4
2023-04-03 11:52:14,4
2023-04-03 11:52:17,5
2023-04-03 11:52:17,5
2023-04-03 11:52:17,5
2023-04-03 11:52:17,5
2023-04-03 11:52:17,5
2023-04-03 11:52:17,5
2023-04-03 11:52:17,5
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:23,6
2023-04-03 11:52:30,7
2023-04-03 11:52:30,7
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:31,8
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:52:52,9
2023-04-03 11:53:02,10
2023-04-03 11:53:02,10
2023-04-03 11:53:02,10
2023-04-03 11:53:05,11
2023-04-03 11:53:05,11
2023-04-03 11:53:05,11
2023-04-03 11:53:07,11
2023-04-03 11:53:07,11
2023-04-03 11:53:07,11
2023-04-03 11:53:07,11
2023-04-03 11:53:07,11
2023-04-03 11:53:07,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:14,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:23,11
2023-04-03 11:53:32,11
2023-04-03 11:53:32,11
2023-04-03 11:53:32,11
2023-04-03 11:53:35,10
2023-04-03 11:53:35,10
2023-04-03 11:53:35,10
2023-04-03 11:53:35,10
2023-04-03 11:53:39,10
2023-04-03 11:53:39,10
2023-04-03 11:53:39,10
2023-04-03 11:53:39,10
2023-04-03 11:53:39,10
2023-04-03 11:53:45,9
2023-04-03 11:53:46,9
2023-04-03 11:53:46,9
2023-04-03 11:53:46,9
2023-04-03 11:53:46,9
2023-04-03 11:53:46,9
2023-04-03 11:53:46,9
2023-04-03 11:53:46,9
